N,a,device,circuit_depth,total_gates,single_q_gates,two_q_gates,circuit_duration_dt
15,2,FakeSirius,3674,4624,2652,1972,None
15,4,FakeSirius,1913,2378,1364,1014,None
15,7,FakeSirius,3795,4723,2707,2016,None
15,8,FakeSirius,3799,4720,2708,2012,None
15,11,FakeSirius,1939,2409,1379,1030,None
15,13,FakeSirius,3699,4645,2661,1984,None
15,2,RealSirius,5941,8239,4764,3475,None
15,4,RealSirius,3070,4295,2495,1800,None
15,7,RealSirius,6084,8415,4866,3549,None
15,8,RealSirius,6100,8440,4886,3554,None
15,11,RealSirius,3086,4261,2466,1795,None
15,13,RealSirius,6031,8343,4832,3511,None
21,2,FakeSirius,41975,51833,29633,22200,None
21,8,FakeSirius,8379,10380,5934,4446,None
21,10,FakeSirius,41963,51823,29629,22194,None
21,11,FakeSirius,41956,51816,29624,22192,None
21,13,FakeSirius,8445,10434,5964,4470,None
21,19,FakeSirius,41979,51839,29637,22202,None
33,10,FakeSirius,35455,43644,24913,18731,None
33,23,FakeSirius,31529,38847,22164,16683,Non
35,6,FakeSirius,35493,43678,24931,18747,None
35,8,FakeSirius,70976,87291,49828,37463,None
35,13,FakeSirius,70972,87287,49826,37461,None
35,22,FakeSirius,71020,87335,49850,37485,None
35,27,FakeSirius,71020,87335,49850,37485,None
35,29,FakeSirius,35522,43701,24944,18757,None
35,6,FakeSirius,35493,43678,24931,18747,None
35,8,FakeSirius,70976,87291,49828,37463,None
35,13,FakeSirius,70972,87287,49826,37461,None
35,22,FakeSirius,71020,87335,49850,37485,None
35,27,FakeSirius,71020,87335,49850,37485,None
35,29,FakeSirius,35522,43701,24944,18757,None
35,6,RealSirius,56763,79506,46071,33435,None
35,8,RealSirius,113498,159224,92247,66977,None
35,13,RealSirius,113736,159304,92317,66987,None
35,22,RealSirius,113029,158024,91526,66498,None
35,27,RealSirius,113033,158405,91724,66681,None
35,29,RealSirius,56541,79313,45937,33376,None
33,10,RealSirius,56345,78914,45675,33239,None
33,23,RealSirius,50306,70481,40817,29664,None
